date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/03/22:24,매수,외국인지분율상승,16920,카스,22.32,0.4,2.0,1103,2840,-1021
2025/12/03/22:24,매수,외국인지분율상승,36190,금화피에스시,4.64,0.51,11.6,30950,35800,-24400
2025/12/03/22:24,매수,외국인지분율상승,36710,심텍홀딩스,,5.29,-99.5,3060,4750,-1027
2025/12/03/22:24,매수,외국인지분율상승,37330,인지디스플레,,0.3,-2.0,1385,1620,-1205
2025/12/03/22:24,매수,외국인지분율상승,39130,하나투어,9.73,3.79,47.2,49400,58600,-45200
2025/12/03/22:24,매수,외국인지분율상승,39490,키움증권,9.78,1.41,16.0,286500,322500,-107000
2025/12/03/22:24,매수,외국인지분율상승,67160,SOOP,8.18,1.92,30.2,72000,135900,-67300
2025/12/03/22:24,매수,외국인지분율상승,71055,한국금융지주우,,,,131200,134900,-50700
2025/12/03/22:24,매수,외국인지분율상승,78930,GS,9.77,0.39,4.1,58500,62400,-34700
2025/12/03/22:24,매수,외국인지분율상승,84690,대상홀딩스,17.52,0.46,2.7,9610,18620,-8830
2025/12/03/22:24,매수,외국인지분율상승,94280,효성ITX,13.73,2.09,16.7,13000,16500,-11470
2025/12/03/22:24,매수,외국인지분율상승,178920,PI첨단소재,21.29,1.47,7.2,16950,23500,-15080
2025/12/03/22:24,매수,외국인지분율상승,243070,휴온스,11.51,0.96,8.8,28300,32200,-23100
2025/12/03/22:24,매수,외국인지분율상승,475660,에스켐,35.5,1.24,5.9,6000,8500,-4710
2025/12/03/22:25,매수,외국인순매수,900340,윙입푸드,2.89,0.19,7.0,-859,1819,-835
2025/12/03/22:25,매수,외국인순매수,0000J0,PLUS 한화그룹주,,,,23605,29335,-10540
2025/12/03/22:25,매수,외국인순매수,150,두산,,11.52,-14.6,896000,1082000,-236500
2025/12/03/22:25,매수,외국인순매수,37560,LG헬로비전,,0.41,-21.1,2365,3535,-2070
2025/12/03/22:25,매수,외국인순매수,89590,제주항공,20.25,1.35,6.8,5460,7850,-5200
2025/12/03/22:25,매수,외국인순매수,272450,진에어,3.71,1.47,51.2,6800,10600,-6560
2025/12/03/22:25,매수,가치주,23910,대한약품,5.39,0.65,12.9,30300,33950,-24750
2025/12/03/22:25,매수,가치주,36530,SNT홀딩스,6.5,0.74,12.4,57000,89000,-21400
2025/12/03/22:25,매수,가치주,67160,SOOP,8.18,1.92,30.2,72000,135900,-67300
2025/12/03/22:25,매수,가치주,138490,코오롱ENP,7.78,0.95,13.0,8080,9370,-5140
2025/12/03/22:25,매수,가치주,241790,티이엠씨씨엔에스,7.37,0.61,8.8,6980,9520,-4630
2025/12/03/22:25,매수,중소형저평가우량주,900340,윙입푸드,2.89,0.19,7.0,-859,1819,-835
2025/12/03/22:25,매수,중소형저평가우량주,23910,대한약품,5.39,0.65,12.9,30300,33950,-24750
2025/12/03/22:25,매수,중소형저평가우량주,110990,디아이티,9.62,1.29,14.5,14730,19470,-11070
2025/12/03/22:25,매수,중소형저평가우량주,214180,헥토이노베이션,7.43,0.9,14.6,15650,18490,-11260
2025/12/03/22:25,매수,대형저평가우량주,9450,경동나비엔,6.97,1.25,19.4,59500,107700,-54500
2025/12/03/22:25,매수,대형저평가우량주,36530,SNT홀딩스,6.5,0.74,12.4,57000,89000,-21400
2025/12/03/22:25,매수,대형저평가우량주,64400,LG씨엔에스,14.07,2.42,18.3,58800,100800,-46500
2025/12/03/22:25,매수,대형저평가우량주,67160,SOOP,8.18,1.92,30.2,72000,135900,-67300
2025/12/03/22:25,매수,대형저평가우량주,119850,지엔씨에너지,14.43,3.35,27.5,33750,46750,-7820
2025/12/03/22:25,매수,대형저평가우량주,241560,두산밥캣,10.55,0.85,8.8,59300,73900,-40800
2025/12/03/22:25,매수,실적호전주,3540,대신증권,17.54,0.72,4.6,28200,31950,-15560
2025/12/03/22:25,매수,실적호전주,6650,대한유화,,0.53,-0.5,147700,159900,-75300
2025/12/03/22:25,매수,실적호전주,28100,동아지질,19.52,0.92,5.0,15950,17700,-12820
2025/12/03/22:25,매수,실적호전주,39830,오로라,29.53,1.18,4.4,17300,26400,-5570
2025/12/03/22:25,매수,실적호전주,52860,아이앤씨,,1.12,-32.5,2365,3400,-1625
2025/12/03/22:26,매수,실적호전주,72470,우리산업홀딩스,152.29,0.5,0.3,3530,4830,-2180
2025/12/03/22:26,매수,실적호전주,226590,엠디바이스,37.09,4.69,20.6,13310,24800,-7410
2025/12/03/22:26,매수,실적호전주,227950,엔투텍,,0.44,-25.9,369,690,-338
2025/12/03/22:26,매수,실적호전주,263700,케어랩스,,1.33,-34.7,3325,6300,-1987
2025/12/03/22:40,매수,수익성이좋은기업,67160,SOOP,8.18,1.92,30.2,72000,135900,-67300
2025/12/03/22:40,매수,시총대비영업이익30%이상,210,DL,10.06,0.22,2.3,39700,56400,-27900
2025/12/03/22:40,매수,시총대비영업이익30%이상,2320,한진,,0.22,-0.3,20400,23850,-17980
2025/12/03/22:40,매수,시총대비영업이익30%이상,3480,한진중공업홀딩스,2.57,0.35,15.5,4915,6790,-3390
2025/12/03/22:40,매수,시총대비영업이익30%이상,69140,누리플랜,17.26,0.78,4.6,2315,3295,-1230
2025/12/03/22:40,매수,시총대비영업이익30%이상,80470,성창오토텍,5.46,0.56,10.8,4085,4915,-3250
